SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
NT,NT,NT,NA,ST.OP,L,L,H,H,L,H,NT,Y,NA,N,Y,C,N,N,N,N,90,361,2.03,Cat 3
H,H,H,H,H,NT,H,H,H,L,H,ST.OP,N,430,N,N,C,N,N,N,N,200,141,2.3,Cat 4
H,ST.OP,H,H,H,L,L,L,H,H,H,H,N,0,N,N,C,N,N,N,N,2000,180,1.9,Cat 4
H,H,L,H,L,L,L,H,H,H,H,ST.OP,N,0,N,N,C,N,N,N,N,1300,314,2.1,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,NT,NA,N,NT,C,N,N,N,N,300,207,3.2,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,100,N,N,S,N,N,N,N,500,733,3.9,Cat 5
H,H,H,L,H,H,H,NT,H,H,H,P,N,0,Y,N,S,N,N,N,N,250,321,2.2,Cat 3
H,H,H,H,H,L,L,L,H,H,H,H,N,0,N,N,S,N,N,N,N,300,222,2.1,Cat 4
H,H,H,H,H,H,H,L,H,L,H,H,Y,240,N,Y,S,N,N,N,N,1100,790,1.5,Cat 4
H,H,H,H,H,H,H,H,H,H,H,NT,N,0,N,N,S,N,N,N,N,NT,0,2.3,Cat 5
H,H,H,H,H,H,H,H,H,L,H,H,N,0,N,N,S,N,N,N,N,300,356,2.8,Cat 4
H,H,H,H,L,L,L,L,H,H,H,H,N,420,Y,N,S,N,N,N,N,500,916,3.1,Cat 3
H,H,H,H,L,NT,NT,NT,NT,H,H,H,NT,0,N,NT,S,N,N,N,N,600,204,3.7,Cat 4
L,H,H,L,H,L,L,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,400,298,2.5,Cat 4
L,H,H,L,L,H,H,H,NT,H,H,H,N,NT,N,N,S,N,N,N,N,600,571,1.6,Cat 4
L,H,H,L,H,L,L,H,H,L,ST.OP,H,N,0,N,N,S,N,N,N,N,300,226,2.8,Cat 4
H,H,H,H,H,H,H,P,NT,NT,H,H,N,0,N,N,S,N,N,N,N,250,112,1.9,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,20,Y,N,S,N,N,N,N,200,452,1.8,Cat 3
H,H,H,H,H,L,L,H,H,L,H,H,N,0,Y,N,S,N,N,N,N,150,1674,1.5,Cat 3
L,H,H,H,H,H,NA,H,H,H,H,P,Y,NA,N,Y,S,N,N,N,N,300,66,2.8,Cat 5
H,H,H,H,H,H,NA,H,H,NA,H,H,N,0,Y,N,S,N,N,N,N,240,842,2.8,Cat 3
H,H,H,H,H,L,NA,H,H,H,H,H,N,0,N,N,S,N,N,N,N,300,587,1.9,Cat 5
H,L,H,NA,L,H,NA,L,H,H,H,H,N,0,N,N,S,Y,N,N,N,250,375,2.3,Cat 3
H,H,H,H,H,H,NA,P,H,H,H,H,N,0,N,N,S,N,N,N,N,120,400,3.9,Cat 5
H,H,L,H,L,L,L,NT,L,H,H,H,N,0,N,N,S,N,N,N,N,1100,145,2.4,Cat 4
H,H,H,L,NT,H,I,H,NT,NT,NT,H,N,0,N,N,S,N,N,N,N,400,1800,2.6,Cat 4
H,H,H,H,H,L,L,H,H,H,H,P,N,0,N,N,S,N,N,N,N,350,693,4.6,Cat 5
H,H,H,NA,H,H,H,H,H,L,H,H,N,NA,N,N,S,N,N,N,N,180,635,2.9,Cat 4
H,H,H,H,H,L,H,P,NT,NT,L,H,Y,0,N,Y,S,Y,N,N,N,260,492,2.2,Cat 4
H,H,H,H,H,H,H,P,H,H,H,ST.OP,N,0,N,N,S,N,N,N,N,280,1155,3.1,Cat 4
H,H,H,H,H,H,H,NT,H,H,H,P,N,0,Y,N,S,Y,N,N,N,300,1148,1.1,Cat 3
H,H,H,H,L,H,H,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,250,561.92,3,Cat 3
P,H,H,H,H,H,H,H,H,H,H,H,N,1,Y,N,S,N,N,N,N,210,561.92,2.4,Cat 3
P,H,H,H,H,H,H,H,H,NA,NA,H,N,0,Y,N,S,Y,N,N,N,0,134,0.3,Cat 3
H,H,H,H,H,H,H,H,NT,NA,NA,H,N,NA,Y,N,S,N,N,N,N,0,80,0.2,Cat 3
